ano,id_municipio,masculino,feminino,idade_0_4,idade_5_9,idade_10_14,idade_15_19,idade_20_29,idade_30_39,idade_40_49,idade_50_59,idade_60_69,idade_70_79,idade_80_ou_mais,total
2020,1400027,6988,6197,2118,1670,1364,1269,2287,1720,1257,794,475,174,57,13185
2020,1400050,8326,7054,1981,2004,1714,1263,2506,1920,1465,1227,802,369,129,15380
2020,1400100,212528,207124,34690,33140,34452,35657,83611,80216,55151,33627,18722,7677,2709,419652
2020,1400159,6929,5628,1659,1438,1200,1131,2347,1530,1278,890,705,281,98,12557
2020,1400175,10124,8675,2140,1944,1552,1439,3325,2620,2284,1783,1082,493,137,18799
2020,1400209,12006,10277,2270,2102,1833,1868,4452,3624,2784,1800,1008,417,125,22283
2020,1400233,5612,4771,1053,965,829,770,1928,1865,1339,869,461,236,68,10383
2020,1400282,6535,5761,1277,1156,1007,944,2319,2138,1619,1016,538,219,63,12296
2020,1400308,9867,8305,1754,1648,1453,1411,3454,3086,2322,1548,917,442,137,18172
2020,1400407,6292,5240,1793,1577,1316,1161,2280,1330,864,571,358,200,82,11532
2020,1400456,9874,9039,2640,2272,1846,1657,3691,2521,2021,1210,691,275,89,18913
2020,1400472,16891,13891,2706,2619,2368,2549,6542,6063,3503,2335,1328,611,158,30782
2020,1400506,4422,3926,819,762,713,689,1618,1584,1026,607,319,169,42,8348
2020,1400605,4397,3713,592,566,522,540,1724,1790,1054,655,417,187,63,8110
2020,1400704,5704,5085,1937,1636,1367,1090,1893,1270,697,458,260,121,60,10789
