"chapter_id","parent_block_id","id","name"
"I",,"A00-A09","Intestinal infectious diseases"
"I",,"A15-A19","Tuberculosis"
"I",,"A20-A28","Certain zoonotic bacterial diseases"
"I",,"A30-A49","Other bacterial diseases"
"I",,"A50-A64","Infections with a predominantly sexual mode of transmission"
"I",,"A65-A69","Other spirochaetal diseases"
"I",,"A70-A74","Other diseases caused by chlamydiae"
"I",,"A75-A79","Rickettsioses"
"I",,"A80-A89","Viral infections of the central nervous system"
"I",,"A92-A99","Arthropod-borne viral fevers and viral haemorrhagic fevers"
"I",,"B00-B09","Viral infections characterized by skin and mucous membrane lesions"
"I",,"B15-B19","Viral hepatitis"
"I",,"B20-B24","Human immunodeficiency virus [HIV] disease"
"I",,"B25-B34","Other viral diseases"
"I",,"B35-B49","Mycoses"
"I",,"B50-B64","Protozoal diseases"
"I",,"B65-B83","Helminthiases"
"I",,"B85-B89","Pediculosis, acariasis and other infestations"
"I",,"B90-B94","Sequelae of infectious and parasitic diseases"
"I",,"B95-B98","Bacterial, viral and other infectious agents"
"I",,"B99-B99","Other infectious diseases"
"II",,"C00-C97","Malignant neoplasms"
"II","C00-C97","C00-C75","Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic and related tissue"
"II","C00-C75","C00-C14","Malignant neoplasms of lip, oral cavity and pharynx"
"II","C00-C75","C15-C26","Malignant neoplasms of digestive organs"
"II","C00-C75","C30-C39","Malignant neoplasms of respiratory and intrathoracic organs"
"II","C00-C75","C40-C41","Malignant neoplasms of bone and articular cartilage"
"II","C00-C75","C43-C44","Melanoma and other malignant neoplasms of skin"
"II","C00-C75","C45-C49","Malignant neoplasms of mesothelial and soft tissue"
"II","C00-C75","C50-C50","Malignant neoplasm of breast"
"II","C00-C75","C51-C58","Malignant neoplasms of female genital organs"
"II","C00-C75","C60-C63","Malignant neoplasms of male genital organs"
"II","C00-C75","C64-C68","Malignant neoplasms of urinary tract"
"II","C00-C75","C69-C72","Malignant neoplasms of eye, brain and other parts of central nervous system"
"II","C00-C75","C73-C75","Malignant neoplasms of thyroid and other endocrine glands"
"II","C00-C97","C76-C80","Malignant neoplasms of ill-defined, secondary and unspecified sites"
"II","C00-C97","C81-C96","Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
"II","C00-C97","C97-C97","Malignant neoplasms of independent (primary) multiple sites"
"II",,"D00-D09","In situ neoplasms"
"II",,"D10-D36","Benign neoplasms"
"II",,"D37-D48","Neoplasms of uncertain or unknown behaviour"
"III",,"D50-D53","Nutritional anaemias"
"III",,"D55-D59","Haemolytic anaemias"
"III",,"D60-D64","Aplastic and other anaemias"
"III",,"D65-D69","Coagulation defects, purpura and other haemorrhagic conditions"
"III",,"D70-D77","Other diseases of blood and blood-forming organs"
"III",,"D80-D89","Certain disorders involving the immune mechanism"
"IV",,"E00-E07","Disorders of thyroid gland"
"IV",,"E10-E14","Diabetes mellitus"
"IV",,"E15-E16","Other disorders of glucose regulation and pancreatic internal secretion"
"IV",,"E20-E35","Disorders of other endocrine glands"
"IV",,"E40-E46","Malnutrition"
"IV",,"E50-E64","Other nutritional deficiencies"
"IV",,"E65-E68","Obesity and other hyperalimentation"
"IV",,"E70-E90","Metabolic disorders"
"V",,"F00-F09","Organic, including symptomatic, mental disorders"
"V",,"F10-F19","Mental and behavioural disorders due to psychoactive substance use"
"V",,"F20-F29","Schizophrenia, schizotypal and delusional disorders"
"V",,"F30-F39","Mood [affective] disorders"
"V",,"F40-F48","Neurotic, stress-related and somatoform disorders"
"V",,"F50-F59","Behavioural syndromes associated with physiological disturbances and physical factors"
"V",,"F60-F69","Disorders of adult personality and behaviour"
"V",,"F70-F79","Mental retardation"
"V",,"F80-F89","Disorders of psychological development"
"V",,"F90-F98","Behavioural and emotional disorders with onset usually occurring in childhood and adolescence"
"V",,"F99-F99","Unspecified mental disorder"
"VI",,"G00-G09","Inflammatory diseases of the central nervous system"
"VI",,"G10-G14","Systemic atrophies primarily affecting the central nervous system"
"VI",,"G20-G26","Extrapyramidal and movement disorders"
"VI",,"G30-G32","Other degenerative diseases of the nervous system"
"VI",,"G35-G37","Demyelinating diseases of the central nervous system"
"VI",,"G40-G47","Episodic and paroxysmal disorders"
"VI",,"G50-G59","Nerve, nerve root and plexus disorders"
"VI",,"G60-G64","Polyneuropathies and other disorders of the peripheral nervous system"
"VI",,"G70-G73","Diseases of myoneural junction and muscle"
"VI",,"G80-G83","Cerebral palsy and other paralytic syndromes"
"VI",,"G90-G99","Other disorders of the nervous system"
"VII",,"H00-H06","Disorders of eyelid, lacrimal system and orbit"
"VII",,"H10-H13","Disorders of conjunctiva"
"VII",,"H15-H22","Disorders of sclera, cornea, iris and ciliary body"
"VII",,"H25-H28","Disorders of lens"
"VII",,"H30-H36","Disorders of choroid and retina"
"VII",,"H40-H42","Glaucoma"
"VII",,"H43-H45","Disorders of vitreous body and globe"
"VII",,"H46-H48","Disorders of optic nerve and visual pathways"
"VII",,"H49-H52","Disorders of ocular muscles, binocular movement, accommodation and refraction"
"VII",,"H53-H54","Visual disturbances and blindness"
"VII",,"H55-H59","Other disorders of eye and adnexa"
"VIII",,"H60-H62","Diseases of external ear"
"VIII",,"H65-H75","Diseases of middle ear and mastoid"
"VIII",,"H80-H83","Diseases of inner ear"
"VIII",,"H90-H95","Other disorders of ear"
"IX",,"I00-I02","Acute rheumatic fever"
"IX",,"I05-I09","Chronic rheumatic heart diseases"
"IX",,"I10-I15","Hypertensive diseases"
"IX",,"I20-I25","Ischaemic heart diseases"
"IX",,"I26-I28","Pulmonary heart disease and diseases of pulmonary circulation"
"IX",,"I30-I52","Other forms of heart disease"
"IX",,"I60-I69","Cerebrovascular diseases"
"IX",,"I70-I79","Diseases of arteries, arterioles and capillaries"
"IX",,"I80-I89","Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
"IX",,"I95-I99","Other and unspecified disorders of the circulatory system"
"X",,"J00-J06","Acute upper respiratory infections"
"X",,"J09-J18","Influenza and pneumonia"
"X",,"J20-J22","Other acute lower respiratory infections"
"X",,"J30-J39","Other diseases of upper respiratory tract"
"X",,"J40-J47","Chronic lower respiratory diseases"
"X",,"J60-J70","Lung diseases due to external agents"
"X",,"J80-J84","Other respiratory diseases principally affecting the interstitium"
"X",,"J85-J86","Suppurative and necrotic conditions of lower respiratory tract"
"X",,"J90-J94","Other diseases of pleura"
"X",,"J95-J99","Other diseases of the respiratory system"
"XI",,"K00-K14","Diseases of oral cavity, salivary glands and jaws"
"XI",,"K20-K31","Diseases of oesophagus, stomach and duodenum"
"XI",,"K35-K38","Diseases of appendix"
"XI",,"K40-K46","Hernia"
"XI",,"K50-K52","Noninfective enteritis and colitis"
"XI",,"K55-K64","Other diseases of intestines"
"XI",,"K65-K67","Diseases of peritoneum"
"XI",,"K70-K77","Diseases of liver"
"XI",,"K80-K87","Disorders of gallbladder, biliary tract and pancreas"
"XI",,"K90-K93","Other diseases of the digestive system"
"XII",,"L00-L08","Infections of the skin and subcutaneous tissue"
"XII",,"L10-L14","Bullous disorders"
"XII",,"L20-L30","Dermatitis and eczema"
"XII",,"L40-L45","Papulosquamous disorders"
"XII",,"L50-L54","Urticaria and erythema"
"XII",,"L55-L59","Radiation-related disorders of the skin and subcutaneous tissue"
"XII",,"L60-L75","Disorders of skin appendages"
"XII",,"L80-L99","Other disorders of the skin and subcutaneous tissue"
"XIII",,"M00-M25","Arthropathies"
"XIII","M00-M25","M00-M03","Infectious arthropathies"
"XIII","M00-M25","M05-M14","Inflammatory polyarthropathies"
"XIII","M00-M25","M15-M19","Arthrosis"
"XIII","M00-M25","M20-M25","Other joint disorders"
"XIII",,"M30-M36","Systemic connective tissue disorders"
"XIII",,"M40-M54","Dorsopathies"
"XIII","M40-M54","M40-M43","Deforming dorsopathies"
"XIII","M40-M54","M45-M49","Spondylopathies"
"XIII","M40-M54","M50-M54","Other dorsopathies"
"XIII",,"M60-M79","Soft tissue disorders"
"XIII","M60-M79","M60-M63","Disorders of muscles"
