"parent_block_id_1","parent_block_id_2","parent_block_id_3","id","name"
"A00-A09",,,"A00","Cholera"
"A00-A09",,,"A01","Typhoid and paratyphoid fevers"
"A00-A09",,,"A02","Other salmonella infections"
"A00-A09",,,"A03","Shigellosis"
"A00-A09",,,"A04","Other bacterial intestinal infections"
"A00-A09",,,"A05","Other bacterial foodborne intoxications, not elsewhere classified"
"A00-A09",,,"A06","Amoebiasis"
"A00-A09",,,"A07","Other protozoal intestinal diseases"
"A00-A09",,,"A08","Viral and other specified intestinal infections"
"A00-A09",,,"A09","Other gastroenteritis and colitis of infectious and unspecified origin"
"A15-A19",,,"A15","Respiratory tuberculosis, bacteriologically and histologically confirmed"
"A15-A19",,,"A16","Respiratory tuberculosis, not confirmed bacteriologically or histologically"
"A15-A19",,,"A17","Tuberculosis of nervous system"
"A15-A19",,,"A18","Tuberculosis of other organs"
"A15-A19",,,"A19","Miliary tuberculosis"
"A20-A28",,,"A20","Plague"
"A20-A28",,,"A21","Tularaemia"
"A20-A28",,,"A22","Anthrax"
"A20-A28",,,"A23","Brucellosis"
"A20-A28",,,"A24","Glanders and melioidosis"
"A20-A28",,,"A25","Rat-bite fevers"
"A20-A28",,,"A26","Erysipeloid"
"A20-A28",,,"A27","Leptospirosis"
"A20-A28",,,"A28","Other zoonotic bacterial diseases, not elsewhere classified"
"A30-A49",,,"A30","Leprosy [Hansen disease]"
"A30-A49",,,"A31","Infection due to other mycobacteria"
"A30-A49",,,"A32","Listeriosis"
"A30-A49",,,"A33","Tetanus neonatorum"
"A30-A49",,,"A34","Obstetrical tetanus"
"A30-A49",,,"A35","Other tetanus"
"A30-A49",,,"A36","Diphtheria"
"A30-A49",,,"A37","Whooping cough"
"A30-A49",,,"A38","Scarlet fever"
"A30-A49",,,"A39","Meningococcal infection"
"A30-A49",,,"A40","Streptococcal sepsis"
"A30-A49",,,"A41","Other sepsis"
"A30-A49",,,"A42","Actinomycosis"
"A30-A49",,,"A43","Nocardiosis"
"A30-A49",,,"A44","Bartonellosis"
"A30-A49",,,"A46","Erysipelas"
"A30-A49",,,"A48","Other bacterial diseases, not elsewhere classified"
"A30-A49",,,"A49","Bacterial infection of unspecified site"
"A50-A64",,,"A50","Congenital syphilis"
"A50-A64",,,"A51","Early syphilis"
"A50-A64",,,"A52","Late syphilis"
"A50-A64",,,"A53","Other and unspecified syphilis"
"A50-A64",,,"A54","Gonococcal infection"
"A50-A64",,,"A55","Chlamydial lymphogranuloma (venereum)"
"A50-A64",,,"A56","Other sexually transmitted chlamydial diseases"
"A50-A64",,,"A57","Chancroid"
"A50-A64",,,"A58","Granuloma inguinale"
"A50-A64",,,"A59","Trichomoniasis"
"A50-A64",,,"A60","Anogenital herpesviral [herpes simplex] infection"
"A50-A64",,,"A63","Other predominantly sexually transmitted diseases, not elsewhere classified"
"A50-A64",,,"A64","Unspecified sexually transmitted disease"
"A65-A69",,,"A65","Nonvenereal syphilis"
"A65-A69",,,"A66","Yaws"
"A65-A69",,,"A67","Pinta [carate]"
"A65-A69",,,"A68","Relapsing fevers"
"A65-A69",,,"A69","Other spirochaetal infections"
"A70-A74",,,"A70","Chlamydia psittaci infection"
"A70-A74",,,"A71","Trachoma"
"A70-A74",,,"A74","Other diseases caused by chlamydiae"
"A75-A79",,,"A75","Typhus fever"
"A75-A79",,,"A77","Spotted fever [tick-borne rickettsioses]"
"A75-A79",,,"A78","Q fever"
"A75-A79",,,"A79","Other rickettsioses"
"A80-A89",,,"A80","Acute poliomyelitis"
"A80-A89",,,"A81","Atypical virus infections of central nervous system"
"A80-A89",,,"A82","Rabies"
"A80-A89",,,"A83","Mosquito-borne viral encephalitis"
"A80-A89",,,"A84","Tick-borne viral encephalitis"
"A80-A89",,,"A85","Other viral encephalitis, not elsewhere classified"
"A80-A89",,,"A86","Unspecified viral encephalitis"
"A80-A89",,,"A87","Viral meningitis"
"A80-A89",,,"A88","Other viral infections of central nervous system, not elsewhere classified"
"A80-A89",,,"A89","Unspecified viral infection of central nervous system"
"A92-A99",,,"A92","Other mosquito-borne viral fevers"
"A92-A99",,,"A93","Other arthropod-borne viral fevers, not elsewhere classified"
"A92-A99",,,"A94","Unspecified arthropod-borne viral fever"
"A92-A99",,,"A95","Yellow fever"
"A92-A99",,,"A96","Arenaviral haemorrhagic fever"
"A92-A99",,,"A97","Dengue"
"A92-A99",,,"A98","Other viral haemorrhagic fevers, not elsewhere classified"
"A92-A99",,,"A99","Unspecified viral haemorrhagic fever"
"B00-B09",,,"B00","Herpesviral [herpes simplex] infections"
"B00-B09",,,"B01","Varicella [chickenpox]"
"B00-B09",,,"B02","Zoster [herpes zoster]"
"B00-B09",,,"B03","Smallpox"
"B00-B09",,,"B04","Monkeypox"
"B00-B09",,,"B05","Measles"
"B00-B09",,,"B06","Rubella [German measles]"
"B00-B09",,,"B07","Viral warts"
"B00-B09",,,"B08","Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified"
"B00-B09",,,"B09","Unspecified viral infection characterized by skin and mucous membrane lesions"
"B15-B19",,,"B15","Acute hepatitis A"
"B15-B19",,,"B16","Acute hepatitis B"
"B15-B19",,,"B17","Other acute viral hepatitis"
"B15-B19",,,"B18","Chronic viral hepatitis"
"B15-B19",,,"B19","Unspecified viral hepatitis"
"B20-B24",,,"B20","Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases"
"B20-B24",,,"B21","Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms"
"B20-B24",,,"B22","Human immunodeficiency virus [HIV] disease resulting in other specified diseases"
"B20-B24",,,"B23","Human immunodeficiency virus [HIV] disease resulting in other conditions"
"B20-B24",,,"B24","Unspecified human immunodeficiency virus [HIV] disease"
"B25-B34",,,"B25","Cytomegaloviral disease"
"B25-B34",,,"B26","Mumps"
