"disease_id","id","name"
"A00","A00.0","Cholera due to Vibrio cholerae 01, biovar cholerae"
"A00","A00.1","Cholera due to Vibrio cholerae 01, biovar eltor"
"A00","A00.9","Cholera, unspecified"
"A01","A01.0","Typhoid fever"
"A01","A01.1","Paratyphoid fever A"
"A01","A01.2","Paratyphoid fever B"
"A01","A01.3","Paratyphoid fever C"
"A01","A01.4","Paratyphoid fever, unspecified"
"A02","A02.0","Salmonella enteritis"
"A02","A02.1","Salmonella sepsis"
"A02","A02.2","Localized salmonella infections"
"A02","A02.8","Other specified salmonella infections"
"A02","A02.9","Salmonella infection, unspecified"
"A03","A03.0","Shigellosis due to Shigella dysenteriae"
"A03","A03.1","Shigellosis due to Shigella flexneri"
"A03","A03.2","Shigellosis due to Shigella boydii"
"A03","A03.3","Shigellosis due to Shigella sonnei"
"A03","A03.8","Other shigellosis"
"A03","A03.9","Shigellosis, unspecified"
"A04","A04.0","Enteropathogenic Escherichia coli infection"
"A04","A04.1","Enterotoxigenic Escherichia coli infection"
"A04","A04.2","Enteroinvasive Escherichia coli infection"
"A04","A04.3","Enterohaemorrhagic Escherichia coli infection"
"A04","A04.4","Other intestinal Escherichia coli infections"
"A04","A04.5","Campylobacter enteritis"
"A04","A04.6","Enteritis due to Yersinia enterocolitica"
"A04","A04.7","Enterocolitis due to Clostridium difficile"
"A04","A04.8","Other specified bacterial intestinal infections"
"A04","A04.9","Bacterial intestinal infection, unspecified"
"A05","A05.0","Foodborne staphylococcal intoxication"
"A05","A05.1","Botulism"
"A05","A05.2","Foodborne Clostridium perfringens [Clostridium welchii] intoxication"
"A05","A05.3","Foodborne Vibrio parahaemolyticus intoxication"
"A05","A05.4","Foodborne Bacillus cereus intoxication"
"A05","A05.8","Other specified bacterial foodborne intoxications"
"A05","A05.9","Bacterial foodborne intoxication, unspecified"
"A06","A06.0","Acute amoebic dysentery"
"A06","A06.1","Chronic intestinal amoebiasis"
"A06","A06.2","Amoebic nondysenteric colitis"
"A06","A06.3","Amoeboma of intestine"
"A06","A06.4","Amoebic liver abscess"
"A06","A06.5","Amoebic lung abscess"
"A06","A06.6","Amoebic brain abscess"
"A06","A06.7","Cutaneous amoebiasis"
"A06","A06.8","Amoebic infection of other sites"
"A06","A06.9","Amoebiasis, unspecified"
"A07","A07.0","Balantidiasis"
"A07","A07.1","Giardiasis [lambliasis]"
"A07","A07.2","Cryptosporidiosis"
"A07","A07.3","Isosporiasis"
"A07","A07.8","Other specified protozoal intestinal diseases"
"A07","A07.9","Protozoal intestinal disease, unspecified"
"A08","A08.0","Rotaviral enteritis"
"A08","A08.1","Acute gastroenteropathy due to Norovirus"
"A08","A08.2","Adenoviral enteritis"
"A08","A08.3","Other viral enteritis"
"A08","A08.4","Viral intestinal infection, unspecified"
"A08","A08.5","Other specified intestinal infections"
"A09","A09.0","Other and unspecified gastroenteritis and colitis of infectious origin"
"A09","A09.9","Gastroenteritis and colitis of unspecified origin"
"A15","A15.0","Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
"A15","A15.1","Tuberculosis of lung, confirmed by culture only"
"A15","A15.2","Tuberculosis of lung, confirmed histologically"
"A15","A15.3","Tuberculosis of lung, confirmed by unspecified means"
"A15","A15.4","Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically"
"A15","A15.5","Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically"
"A15","A15.6","Tuberculous pleurisy, confirmed bacteriologically and histologically"
"A15","A15.7","Primary respiratory tuberculosis, confirmed bacteriologically and histologically"
"A15","A15.8","Other respiratory tuberculosis, confirmed bacteriologically and histologically"
"A15","A15.9","Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically"
"A16","A16.0","Tuberculosis of lung, bacteriologically and histologically negative"
"A16","A16.1","Tuberculosis of lung, bacteriological and histological examination not done"
"A16","A16.2","Tuberculosis of lung, without mention of bacteriological or histological confirmation"
"A16","A16.3","Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation"
"A16","A16.4","Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation"
"A16","A16.5","Tuberculous pleurisy, without mention of bacteriological or histological confirmation"
"A16","A16.7","Primary respiratory tuberculosis without mention of bacteriological or histological confirmation"
"A16","A16.8","Other respiratory tuberculosis, without mention of bacteriological or histological confirmation"
"A16","A16.9","Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"
"A17","A17.0","Tuberculous meningitis"
"A17","A17.1","Meningeal tuberculoma"
"A17","A17.8","Other tuberculosis of nervous system"
"A17","A17.9","Tuberculosis of nervous system, unspecified"
"A18","A18.0","Tuberculosis of bones and joints"
"A18","A18.1","Tuberculosis of genitourinary system"
"A18","A18.2","Tuberculous peripheral lymphadenopathy"
"A18","A18.3","Tuberculosis of intestines, peritoneum and mesenteric glands"
"A18","A18.4","Tuberculosis of skin and subcutaneous tissue"
"A18","A18.5","Tuberculosis of eye"
"A18","A18.6","Tuberculosis of ear"
"A18","A18.7","Tuberculosis of adrenal glands"
"A18","A18.8","Tuberculosis of other specified organs"
"A19","A19.0","Acute miliary tuberculosis of a single specified site"
"A19","A19.1","Acute miliary tuberculosis of multiple sites"
"A19","A19.2","Acute miliary tuberculosis, unspecified"
"A19","A19.8","Other miliary tuberculosis"
"A19","A19.9","Miliary tuberculosis, unspecified"
"A20","A20.0","Bubonic plague"
"A20","A20.1","Cellulocutaneous plague"
"A20","A20.2","Pneumonic plague"
"A20","A20.3","Plague meningitis"
"A20","A20.7","Septicaemic plague"
"A20","A20.8","Other forms of plague"
"A20","A20.9","Plague, unspecified"
"A21","A21.0","Ulceroglandular tularaemia"
"A21","A21.1","Oculoglandular tularaemia"
"A21","A21.2","Pulmonary tularaemia"
"A21","A21.3","Gastrointestinal tularaemia"
"A21","A21.7","Generalized tularaemia"
"A21","A21.8","Other forms of tularaemia"
"A21","A21.9","Tularaemia, unspecified"
"A22","A22.0","Cutaneous anthrax"
"A22","A22.1","Pulmonary anthrax"
"A22","A22.2","Gastrointestinal anthrax"
"A22","A22.7","Anthrax sepsis"
"A22","A22.8","Other forms of anthrax"
"A22","A22.9","Anthrax, unspecified"
"A23","A23.0","Brucellosis due to Brucella melitensis"
"A23","A23.1","Brucellosis due to Brucella abortus"
"A23","A23.2","Brucellosis due to Brucella suis"
"A23","A23.3","Brucellosis due to Brucella canis"
"A23","A23.8","Other brucellosis"
"A23","A23.9","Brucellosis, unspecified"
"A24","A24.0","Glanders"
"A24","A24.1","Acute and fulminating melioidosis"
"A24","A24.2","Subacute and chronic melioidosis"
"A24","A24.3","Other melioidosis"
"A24","A24.4","Melioidosis, unspecified"
"A25","A25.0","Spirillosis"
"A25","A25.1","Streptobacillosis"
"A25","A25.9","Rat-bite fever, unspecified"
"A26","A26.0","Cutaneous erysipeloid"
"A26","A26.7","Erysipelothrix sepsis"
"A26","A26.8","Other forms of erysipeloid"
"A26","A26.9","Erysipeloid, unspecified"
"A27","A27.0","Leptospirosis icterohaemorrhagica"
"A27","A27.8","Other forms of leptospirosis"
"A27","A27.9","Leptospirosis, unspecified"
"A28","A28.0","Pasteurellosis"
"A28","A28.1","Cat-scratch disease"
"A28","A28.2","Extraintestinal yersiniosis"
"A28","A28.8","Other specified zoonotic bacterial diseases, not elsewhere classified"
"A28","A28.9","Zoonotic bacterial disease, unspecified"
"A30","A30.0","Indeterminate leprosy"
"A30","A30.1","Tuberculoid leprosy"
"A30","A30.2","Borderline tuberculoid leprosy"
"A30","A30.3","Borderline leprosy"
"A30","A30.4","Borderline lepromatous leprosy"
"A30","A30.5","Lepromatous leprosy"
"A30","A30.8","Other forms of leprosy"
"A30","A30.9","Leprosy, unspecified"
"A31","A31.0","Pulmonary mycobacterial infection"
"A31","A31.1","Cutaneous mycobacterial infection"
"A31","A31.8","Other mycobacterial infections"
"A31","A31.9","Mycobacterial infection, unspecified"
"A32","A32.0","Cutaneous listeriosis"
"A32","A32.1","Listerial meningitis and meningoencephalitis"
"A32","A32.7","Listerial sepsis"
"A32","A32.8","Other forms of listeriosis"
"A32","A32.9","Listeriosis, unspecified"
"A36","A36.0","Pharyngeal diphtheria"
"A36","A36.1","Nasopharyngeal diphtheria"
"A36","A36.2","Laryngeal diphtheria"
"A36","A36.3","Cutaneous diphtheria"
"A36","A36.8","Other diphtheria"
"A36","A36.9","Diphtheria, unspecified"
"A37","A37.0","Whooping cough due to Bordetella pertussis"
"A37","A37.1","Whooping cough due to Bordetella parapertussis"
"A37","A37.8","Whooping cough due to other Bordetella species"
"A37","A37.9","Whooping cough, unspecified"
"A39","A39.0","Meningococcal meningitis"
"A39","A39.1","Waterhouse-Friderichsen syndrome"
"A39","A39.2","Acute meningococcaemia"
"A39","A39.3","Chronic meningococcaemia"
"A39","A39.4","Meningococcaemia, unspecified"
"A39","A39.5","Meningococcal heart disease"
"A39","A39.8","Other meningococcal infections"
"A39","A39.9","Meningococcal infection, unspecified"
"A40","A40.0","Sepsis due to streptococcus, group A"
"A40","A40.1","Sepsis due to streptococcus, group B"
"A40","A40.2","Sepsis due to streptococcus, group D and enterococcus"
"A40","A40.3","Sepsis due to Streptococcus pneumoniae"
"A40","A40.8","Other streptococcal sepsis"
"A40","A40.9","Streptococcal sepsis, unspecified"
